component,variance_explained,cumulative_variance
1,0.5497721964615062,0.5497721964615062
2,0.20166221181614474,0.751434408277651
3,0.12678828262413483,0.8782226909017858
4,0.07675304536183619,0.954975736263622
5,0.0450242637363781,1.0
