tsne1,tsne2,cluster,cluster_name,track_name,artist,release_year,popularity,danceability,energy,valence,acousticness,loudness
2.1311057,-0.11503462,0,Energetic and Danceable,Secret,['Madonna'],1994,53,0.813,0.655,0.46,0.101,-7.884
4.4841647,-0.54447556,0,Energetic and Danceable,Human Nature,['Madonna'],1994,47,0.691,0.571,0.641,0.031,-7.737
-7.5732594,4.232595,1,Acoustic and Mellow,I'll Remember (Theme from the Motion Picture With Honors),['Madonna'],1995,53,0.691,0.601,0.85,0.628,-9.698
-7.8110547,-8.595804,2,Bold and Uplifting,You'll See,['Madonna'],1995,51,0.601,0.545,0.234,0.479,-9.972
-12.051752,-9.010023,2,Bold and Uplifting,This Used to Be My Playground,['Madonna'],1995,49,0.499,0.308,0.071,0.754,-11.692
5.541287,-2.9174552,0,Energetic and Danceable,Crazy for You,['Madonna'],1995,47,0.666,0.714,0.532,0.122,-6.575
-14.015867,-9.087305,2,Bold and Uplifting,Don't Cry for Me Argentina,['Madonna'],1996,56,0.217,0.146,0.085,0.901,-13.9
3.7222762,-5.877991,0,Energetic and Danceable,American Pie,['Madonna'],2000,61,0.631,0.734,0.591,0.348,-7.48
2.4876757,5.7220755,3,Smooth and Sophisticated,Music,['Madonna'],2000,60,0.736,0.802,0.871,0.001,-8.527
4.695588,-0.18864134,0,Energetic and Danceable,Don't Tell Me,['Madonna'],2000,55,0.699,0.618,0.679,0.05,-7.338
1.7943608,11.360729,3,Smooth and Sophisticated,Me Against the Music (feat. Madonna) - LP Version / Video Mix,"['Britney Spears', 'Madonna']",2003,62,0.804,0.836,0.85,0.32,-6.635
3.9694922,-3.9178207,0,Energetic and Danceable,Hung Up,['Madonna'],2005,75,0.649,0.647,0.405,0.004,-7.695
6.8586707,-6.1925554,0,Energetic and Danceable,Sorry,['Madonna'],2005,62,0.589,0.877,0.443,0.001,-6.229
6.778133,-5.405887,0,Energetic and Danceable,Jump,['Madonna'],2005,59,0.629,0.839,0.449,0.002,-7.061
6.819993,11.444914,3,Smooth and Sophisticated,Give It 2 Me,['Madonna'],2008,59,0.837,0.954,0.972,0.093,-3.512
4.829279,11.315301,3,Smooth and Sophisticated,Material Girl,['Madonna'],2009,74,0.742,0.883,0.978,0.333,-3.419
7.3840594,-7.9043474,0,Energetic and Danceable,Like a Prayer,['Madonna'],2009,73,0.624,0.842,0.257,0.264,-5.285
8.72957,8.948109,3,Smooth and Sophisticated,4 Minutes (feat. Justin Timberlake & Timbaland),"['Madonna', 'Justin Timberlake', 'Timbaland']",2009,71,0.753,0.931,0.767,0.01,-4.922
8.367347,-3.7309518,0,Energetic and Danceable,Vogue,['Madonna'],2009,68,0.737,0.88,0.329,0.004,-6.449
3.845937,11.567362,3,Smooth and Sophisticated,La Isla Bonita,['Madonna'],2009,66,0.708,0.832,0.968,0.392,-4.736
5.484199,-3.232917,0,Energetic and Danceable,Crazy for You,['Madonna'],2009,65,0.662,0.719,0.511,0.107,-6.606
7.3479614,9.841575,3,Smooth and Sophisticated,Into the Groove,['Madonna'],2009,64,0.729,0.856,0.804,0.066,-4.164
7.2920647,13.356496,3,Smooth and Sophisticated,Holiday,['Madonna'],2009,63,0.854,0.796,0.946,0.054,-5.567
4.067381,-3.8753235,0,Energetic and Danceable,Hung Up,['Madonna'],2009,59,0.64,0.646,0.415,0.004,-7.572
7.1112223,8.161131,3,Smooth and Sophisticated,Express Yourself,['Madonna'],2009,58,0.667,0.93,0.893,0.011,-4.585
