pc1,pc2,pc3,cluster,cluster_name,track_name,release_year,popularity,danceability,energy
1.2192986341720529,0.38193150586288827,-0.6515375335857436,1,Acoustic and Mellow,Holiday,1983,61,0.813,0.699
1.2192986341720529,0.38193150586288827,-0.6515375335857436,1,Acoustic and Mellow,Holiday,1983,60,0.813,0.699
0.5639701993922025,1.5411842686280746,-0.0719557455207085,1,Acoustic and Mellow,Lucky Star,1983,55,0.793,0.627
-0.08735231608233501,0.6819567222892983,-1.5324599407804793,1,Acoustic and Mellow,Borderline,1983,46,0.787,0.526
1.404194656326595,-0.7911861461082108,0.5183468433382603,3,Smooth and Sophisticated,Borderline,1983,45,0.787,0.895
2.450394880218751,0.7021413497600961,0.12307358399058867,3,Smooth and Sophisticated,Burning Up,1983,43,0.869,0.738
2.0325802371505457,0.45243398047000644,0.8360254215252683,3,Smooth and Sophisticated,Lucky Star,1983,43,0.803,0.814
2.2163932603645424,-0.022508472129317916,-0.5446708248452067,3,Smooth and Sophisticated,Everybody - Original Version,1983,39,0.921,0.782
0.7375026723401334,1.3023280787256664,-0.2728919250966927,1,Acoustic and Mellow,Like a Virgin,1984,73,0.771,0.655
0.2391519578841594,1.7470052807290852,-0.36434312837632743,1,Acoustic and Mellow,Material Girl,1984,57,0.775,0.616
-0.2603496481340289,1.4967609295466016,-0.4723229481867679,1,Acoustic and Mellow,Angel,1984,48,0.754,0.618
0.4355051984595899,0.3128529799022387,-0.16140884543909215,1,Acoustic and Mellow,Dress You Up,1984,47,0.654,0.646
0.24332709258541446,1.1160330339182516,0.9444101740164531,1,Acoustic and Mellow,Over and Over,1984,41,0.669,0.785
-2.8248304947953455,-0.3401279739715955,-0.3982723316143359,2,Bold and Uplifting,Love Don't Live Here Anymore,1984,40,0.483,0.366
0.2964404663500056,1.9713102191886622,-1.530924364646374,1,Acoustic and Mellow,Like a Virgin - Extended Dance Remix,1984,40,0.839,0.458
0.18495241221263534,1.3559289790714528,0.24126913014288323,1,Acoustic and Mellow,La Isla Bonita,1986,72,0.725,0.612
1.560313395671895,1.1419190697025088,0.608688970940644,3,Smooth and Sophisticated,Papa Don't Preach,1986,66,0.807,0.906
0.9938485609879849,1.1445079218274088,0.08732614028016646,1,Acoustic and Mellow,True Blue,1986,60,0.799,0.773
-2.477931832236335,0.36479170829664853,-1.0295935301553794,2,Bold and Uplifting,Live to Tell,1986,59,0.673,0.314
1.0846525880392406,-0.12963099771623132,0.4562048625747374,3,Smooth and Sophisticated,Open Your Heart,1986,52,0.619,0.876
1.2041603110179722,0.3872228703732919,0.6745275138537814,3,Smooth and Sophisticated,La Isla Bonita - Extended Remix,1986,50,0.73,0.737
1.0513269492988104,0.8438579192506769,0.7329036542578896,1,Acoustic and Mellow,Where's the Party,1986,42,0.752,0.829
-0.1221316219785869,0.8726961393473305,-1.6740535234380098,1,Acoustic and Mellow,True Blue - The Color Mix,1986,40,0.807,0.525
-0.5314268411973629,0.7914873279439646,-0.16935507881515263,1,Acoustic and Mellow,Who's That Girl,1987,55,0.625,0.646
0.7596457537244448,0.9649784644137961,-0.09425011882558806,1,Acoustic and Mellow,Causing a Commotion,1987,47,0.771,0.749
-1.3541082117375198,-0.12814129835084193,-0.1813263239066118,0,Energetic and Danceable,Like a Prayer,1989,66,0.66,0.629
0.8903576030778778,1.1406187904943212,0.6304744628358275,1,Acoustic and Mellow,Express Yourself,1989,50,0.747,0.866
0.14769919310143578,1.3086365449354092,0.33696780526061,1,Acoustic and Mellow,Cherish,1989,50,0.703,0.685
