id,name,artists,cluster
01VFDkHBNJcCNUjzD3flWg,The Power of Good-Bye,['Madonna'],0
4Fpsa3pYc3gozrxHRRPvR6,Ray of Light,['Madonna'],0
6bZPQHvekmIFBZZB7nMB5X,Nothing Really Matters,['Madonna'],0
7izFzcBTx3DVXFeFYDeZKB,Take a Bow,['Madonna'],2
6KU8g98m1tcrUXRNjPQeOI,Deeper and Deeper,['Madonna'],0
3s6UF8KC2k4nFwRConFYfJ,Physical Attraction,['Madonna'],1
4FMNpPI7mkhdeFCCk6fZiE,Borderline,['Madonna'],3
4eMLyB1mc7onYLdoG8YSXG,Erotica,['Madonna'],0
0beXeFEWUYYY13fYVHTtFk,Drowned World / Substitute for Love,['Madonna'],2
3ZfMci7n6qk9nRodX8BfIb,Girl Gone Wild,['Madonna'],0
0NjXS4VFF7OVLRhSAXMUJV,Burning Up,['Madonna'],3
4QGVOJqm5WOt7XhGlFLqnj,Physical Attraction,['Madonna'],3
19gLqMCui3hxPDTKTEoELa,Stay,['Madonna'],1
3Jmc8fYHFMwpIiT7pg7ggt,White Heat,['Madonna'],1
687mfVfetXFntD7DJpBT3N,Jimmy Jimmy,['Madonna'],1
5TqUghz3FRLeWKkwOVaumY,Love Makes the World Go Round,['Madonna'],1
0xbjaqanyL1Us6g8kVKE3h,Till Death Do Us Part,['Madonna'],1
0TtjIsd6WB3hzFu0ra8g8p,Hanky Panky,['Madonna'],0
7DUpuAzGUyJaJB3p9BC3Ms,Die Another Day,['Madonna'],3
1Lg9aMPCykp6LybqcVCXiO,Hung Up - Radio Version,['Madonna'],0
0YT8MKXuaRdhOnDG9Jm1Dv,Frozen,['Madonna'],0
5HktkLHDbjA6LTyRTBEzHy,Celebration,['Madonna'],3
6WjrgHvISFS0Oj3vk3XLiE,Cherish,['Madonna'],1
18hiT7VEeP2XJrVWizpDMk,Erotica,['Madonna'],0
43f5cRyu4Wgnuf2t3AdZzL,Material Girl,['Madonna'],3
37PPB2oW67yjvArQPYQxRU,Like a Prayer,['Madonna'],0
1AL0StSc00aZBBd8Ggktgj,4 Minutes (feat. Justin Timberlake & Timbaland),"['Madonna', 'Justin Timberlake', 'Timbaland']",3
6gTREVvbhMEIluqtLRMWuI,Lucky Star - New Mix,['Madonna'],3
36IHTITiDnlpQWUacWWZpB,Shoo-Bee-Doo,['Madonna'],2
73WYe6TI6bdfmvnezJ5GvV,Spotlight,"['Madonna', 'Jellybean Benitiz']",1
1iaIEmZHrjGzWUmJ9BaFr6,Like a Virgin,['Madonna'],3
1dOXmR1VsGmkM9c72ka0je,Bedtime Story,['Madonna'],2
4ixxz1GXB57Q6K2nbR4AwL,Hollywood,['Madonna'],0
4e3AL3lOlUtLe4nseczBzK,Think of Me,['Madonna'],3
3E79grOLqLpNER2JT2TtL0,"Burning Up - 12"" Version","['Madonna', 'John ""Jellybean"" Benitez']",1
4bJMrN6Z33iEScmu1FoAcj,I Know It,['Madonna'],1
0S9EixwOfXC0LyILi8kVFh,Pretender,['Madonna'],1
30ny4GiwopKUoKBRHPmPuK,The Look of Love,['Madonna'],1
3XpZyqH5zvTojLUFs9RW96,Can't Stop,['Madonna'],1
1S3G1e8po0gJwauwiyFmTB,Holiday,['Madonna'],1
6i58Xdfl1rdq7kYDjWXIFH,Over and Over - Extended Version,['Madonna'],1
7GQ8y27RpoUMAMlAzJD6fX,Physical Attraction,['Madonna'],3
359errH05UQpI0n74V8f4h,Santa Baby,['Madonna'],2
04tSWZo4MLebMbf7RwSmyE,Keep It Together,['Madonna'],1
1eZuZj2FOmb2u0150TaC8x,Love Song,['Madonna'],1
4zVHGx8DIm57VnWndZqxM7,Promise to Try,['Madonna'],2
6iUHLXwW5ru72sAA6MBybQ,Act of Contrition,['Madonna'],0
0n8sO6vHx3SkVEn2pjaqV9,Rescue Me,['Madonna'],0
0QLuoNpyzXMcCLfVtFScE2,Sooner or Later,['Madonna'],2
0mPPeHgx3Kxj85Olq1hNU7,Now I'm Following You (Part I),['Madonna'],2
4714JHYV5kiMKsuo8eP41E,He's a Man,['Madonna'],0
1cWJlp4nERqhfc5XVCsOBw,I'm Going Bananas,['Madonna'],1
5is6zYrI3haUiqwAPM3rU7,Vogue - Strike-A-Pose Dub,['Madonna'],0
00akbmcZrMFuZ15AzIyC5T,Back in Business,['Madonna'],2
4yZglxlGxe7BexRBM3AKDq,Now I'm Following You (Pt. 2),['Madonna'],3
6gimgfkbhuoGuY8MQXEFch,Cry Baby,['Madonna'],2
0yrZ6pA1hAeoFD7FsVRTBX,More,['Madonna'],2
2o2uXE1owlax1uLgW6uI3f,What Can You Lose,['Madonna'],2
31VN2klasv39lDUTxlj9ho,Express Yourself - Shep's 'Spressin Himself Re-Remix,"['Madonna', 'Shep Pettibone']",1
5bfCDz63ukOPB9EQcjXgWF,Vogue - Bette Davis Dub,['Madonna'],0
5WQFnPebx3YFSoXUSbSnLt,Justify My Love - Hip Hop Mix,"['Madonna', 'Andre Betts']",1
6aiuOkaPgVROiE98FhCqKI,Hanky Panky - Bare Bones Single Mix,"['Madonna', 'Kevin Gilbert']",3
5lAmdpu8irDgLp4ehA8B2d,"Hanky Panky - Bare Bottom 12"" Mix","['Madonna', 'Kevin Gilbert']",3
1UaQAAdtv9fzmel09k3bSc,Justify My Love - Orbit Edit,"['Madonna', 'William Orbit']",1
5cijobH65WeTnTi1f8yNFu,Something to Remember,['Madonna'],2
