name,release_year,popularity,danceability,energy,valence
Frozen,1998,63,0.602,0.616,0.31
Live to Tell,1986,59,0.673,0.314,0.27
Don't Cry for Me Argentina,1996,56,0.217,0.146,0.0847
Take a Bow,2009,56,0.549,0.408,0.319
Take a Bow,1994,55,0.568,0.366,0.311
You'll See,1995,51,0.601,0.545,0.234
This Used to Be My Playground,1995,49,0.499,0.308,0.0708
Drowned World / Substitute for Love,1998,48,0.539,0.308,0.131
Dear Jessie,1989,45,0.702,0.26,0.897
Pray for Spanish Eyes,1989,44,0.703,0.319,0.483
