id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release_year,cluster,hdbscan_cluster
1S14j6I0RrdQoxrm7zZNHL,Love Don't Live Here Anymore,40,290227,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1984-11-12,0.483,0.366,7,-14.394,0,0.0452,0.327,3.78e-05,0.325,0.356,140.358,4,1984,2,-1
095MMFhB9qxPx2VsmvjnUs,Live to Tell,59,353000,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1986-06-30,0.673,0.314,2,-14.156,0,0.0279,0.411,0.0334,0.107,0.27,109.841,4,1986,2,0
1ZLgeJ8aUm1nJcddza8dVG,Dear Jessie,45,261507,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1989-03-21,0.702,0.26,2,-16.885,1,0.0449,0.755,0.0,0.304,0.897,126.838,4,1989,2,-1
5Fg8RLBDD809CkfXShJG73,Pray for Spanish Eyes,44,317707,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1989-03-21,0.703,0.319,9,-12.911,0,0.0272,0.36,0.0,0.0958,0.483,108.519,4,1989,2,0
5vk7txLRuAjNatZD8OCrf4,Oh Father,43,298760,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1989-03-21,0.576,0.268,0,-14.313,1,0.0294,0.547,5.17e-05,0.118,0.175,115.952,3,1989,2,0
5oqukcHWfqq7HGjyKwLX1y,Take a Bow,55,321360,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1994-10-25,0.568,0.366,8,-8.854,1,0.0258,0.417,3.39e-06,0.0664,0.311,79.98,4,1994,2,-1
0Fb8sdyNluLawg08N1zs48,You'll See,51,281067,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1995-11-17,0.601,0.545,4,-9.972,0,0.0311,0.479,0.000224,0.0975,0.234,89.79,4,1995,2,1
637V2ymBt4Ljlbz4EmRys8,This Used to Be My Playground,49,310267,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1995-11-17,0.499,0.308,7,-11.692,0,0.0264,0.754,0.000928,0.125,0.0708,75.91,4,1995,2,0
0bLRXQaWzmSXRXPmP6JnEF,Don't Cry for Me Argentina,56,331467,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1996-10-25,0.217,0.146,11,-13.9,1,0.0373,0.901,4.49e-06,0.222,0.0847,75.922,4,1996,2,-1
78JPL7uIfs6Imm57r1QETk,You Must Love Me,40,170840,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1996-10-25,0.357,0.161,10,-14.789,1,0.0436,0.926,3.47e-05,0.146,0.267,88.746,4,1996,2,-1
2II03llydk4YnkBBvoYB3B,Frozen,63,367333,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1998-03-03,0.602,0.616,1,-10.917,1,0.0353,0.662,0.0153,0.149,0.31,108.017,4,1998,2,1
7izFzcBTx3DVXFeFYDeZKB,Take a Bow,56,320467,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.549,0.408,8,-7.698,1,0.024,0.341,0.0,0.0764,0.319,80.133,4,2009,2,-1
0beXeFEWUYYY13fYVHTtFk,Drowned World / Substitute for Love,48,308973,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1998-03-03,0.539,0.308,4,-12.101,1,0.0413,0.727,0.207,0.107,0.131,139.901,4,1998,2,0
36IHTITiDnlpQWUacWWZpB,Shoo-Bee-Doo,36,317240,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1984-11-12,0.608,0.588,6,-11.973,1,0.0411,0.689,8.38e-06,0.0796,0.483,94.156,4,1984,2,1
1dOXmR1VsGmkM9c72ka0je,Bedtime Story,42,292907,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1994-10-25,0.712,0.612,0,-12.74,1,0.0441,0.831,0.441,0.118,0.526,112.028,4,1994,2,-1
359errH05UQpI0n74V8f4h,Santa Baby,30,154907,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1987-10-20,0.618,0.32,5,-12.977,0,0.0476,0.586,0.0,0.364,0.602,113.825,4,1987,2,-1
4zVHGx8DIm57VnWndZqxM7,Promise to Try,36,218067,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1989-03-21,0.344,0.0659,10,-21.976,1,0.0428,0.922,2.89e-06,0.128,0.379,113.972,4,1989,2,-1
0QLuoNpyzXMcCLfVtFScE2,Sooner or Later,33,200160,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-03-22,0.488,0.189,10,-14.479,0,0.0288,0.632,1.28e-05,0.105,0.194,71.39,4,1990,2,0
0mPPeHgx3Kxj85Olq1hNU7,Now I'm Following You (Part I),27,94987,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-03-22,0.609,0.351,10,-12.451,1,0.0295,0.725,0.0,0.575,0.691,75.934,4,1990,2,-1
00akbmcZrMFuZ15AzIyC5T,Back in Business,27,313360,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-03-22,0.559,0.622,5,-9.947,0,0.0936,0.521,7.13e-05,0.0888,0.424,174.651,4,1990,2,1
6gimgfkbhuoGuY8MQXEFch,Cry Baby,26,245787,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-03-22,0.836,0.144,0,-13.715,1,0.0536,0.804,5.49e-05,0.0666,0.571,138.128,4,1990,2,-1
0yrZ6pA1hAeoFD7FsVRTBX,More,27,298933,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-03-22,0.632,0.356,1,-10.683,1,0.0955,0.569,0.0,0.068,0.554,104.625,4,1990,2,-1
2o2uXE1owlax1uLgW6uI3f,What Can You Lose,26,129307,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-03-22,0.427,0.127,11,-18.956,1,0.0352,0.967,0.000282,0.129,0.255,102.785,4,1990,2,-1
5cijobH65WeTnTi1f8yNFu,Something to Remember,28,304333,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-03-22,0.545,0.382,4,-8.851,0,0.0241,0.753,6.81e-05,0.105,0.113,137.988,3,1990,2,0
0koXhZM2nyHAJ6fmGWCprN,To Have and Not to Hold,43,322747,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1998-03-03,0.554,0.543,10,-12.417,0,0.0355,0.721,0.317,0.0659,0.654,88.038,4,1998,2,-1
2HZ1D2dAWN8MYVBXX9Ezrk,Another Suitcase in Another Hall,38,213040,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1996-10-25,0.52,0.248,8,-14.166,1,0.0353,0.848,1.75e-05,0.112,0.228,125.956,4,1996,2,0
7JQEe7DigVkZEB0TwyKSm0,Take a Bow,42,321360,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1995-11-17,0.568,0.366,8,-8.854,1,0.0258,0.417,3.39e-06,0.0664,0.311,79.98,4,1995,2,-1
0XXvv9AZ62nHtMDKK4lHlr,Oh What a Circus,38,344867,0,"['Antonio Banderas', 'Madonna']","['1EmxvwBQjmCB7e3dOVincQ', '6tbjWDEIzxoDsBA1FuhfPW']",1996-10-25,0.36,0.492,1,-10.325,1,0.0431,0.811,0.0,0.276,0.302,135.455,4,1996,2,-1
3WtuDsoDKMd9w6YiookYHC,"High Flying, Adored",36,212293,0,"['Antonio Banderas', 'Madonna']","['1EmxvwBQjmCB7e3dOVincQ', '6tbjWDEIzxoDsBA1FuhfPW']",1996-10-25,0.686,0.372,3,-11.961,1,0.0358,0.639,0.0,0.132,0.307,122.953,4,1996,2,-1
6mReqk8kBcxkCtlnO4hDcA,Goodnight and Thank You,35,258093,0,"['Antonio Banderas', 'Madonna']","['1EmxvwBQjmCB7e3dOVincQ', '6tbjWDEIzxoDsBA1FuhfPW']",1996-10-25,0.388,0.617,5,-9.627,1,0.0436,0.691,0.0,0.0893,0.842,73.817,4,1996,2,-1
5EozWxc0G7mMAHgQdGDlHm,Swim,43,300600,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1998-03-03,0.618,0.476,8,-12.823,0,0.0345,0.584,0.0243,0.168,0.2,100.488,4,1998,2,1
7Jeih4TEqBbfzxI1UN5b51,I'd Be Surprisingly Good for You,36,258667,0,"['Madonna', 'Jonathan Pryce']","['6tbjWDEIzxoDsBA1FuhfPW', '26fxwQv5dbSx7ow4faauEh']",1996-10-25,0.568,0.291,2,-13.888,0,0.047,0.871,0.0,0.0888,0.425,100.647,4,1996,2,-1
4jV0e7eqsxFUAZA92SITMz,Live to Tell,37,353000,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1995-11-17,0.673,0.314,2,-14.156,0,0.0279,0.411,0.0334,0.107,0.27,109.841,4,1995,2,0
