id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release_year,cluster,hdbscan_cluster
2v7ywbUzCgcVohHaKUcacV,Like a Prayer,66,340867,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1989-03-21,0.66,0.629,5,-12.359,1,0.0387,0.432,7.3e-05,0.172,0.324,111.926,4,1989,0,1
7j5TIXPi0cCbSSqItmbyZy,Vogue,62,317080,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-11-09,0.748,0.84,6,-7.701,1,0.0421,0.00348,0.00647,0.44,0.304,115.997,4,1990,0,8
5npMYgysWSKOIVXj2szeLn,Vogue - Edit,54,289560,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-03-22,0.69,0.817,10,-10.137,0,0.0478,0.0109,0.00276,0.103,0.285,116.211,4,1990,0,-1
4osrEm2iY3QcTUcQuFUtfW,Live to Tell,46,318773,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-11-09,0.627,0.363,5,-12.368,1,0.026,0.104,3.52e-06,0.127,0.259,110.07,4,1990,0,-1
14p4jbULrRxZvnSt4NDSEs,Like a Prayer,45,351560,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-11-09,0.705,0.693,0,-10.122,1,0.0455,0.018,1.21e-06,0.441,0.444,111.872,4,1990,0,7
6NBGabiAuQklrfkufcOqlN,Justify My Love,45,302840,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-11-09,0.698,0.662,1,-12.58,1,0.111,0.00213,0.703,0.047,0.503,99.661,4,1990,0,-1
09rZ7xC4mioI3HQBpyxpi3,Express Yourself,43,244173,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-11-09,0.697,0.765,7,-9.158,1,0.0505,0.00306,0.000105,0.125,0.626,115.496,4,1990,0,7
15FcP9qwmIKqaD5NhfhNpu,Secret,53,304933,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1994-10-25,0.813,0.655,1,-7.884,1,0.0262,0.101,6.65e-05,0.146,0.46,99.982,4,1994,0,-1
4Cna7QxOOTNnylVHLtShCi,Human Nature,47,293933,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1994-10-25,0.691,0.571,10,-7.737,0,0.0347,0.0313,0.206,0.118,0.641,92.528,4,1994,0,6
6iABG3ruJ1ArrulilbVhai,Crazy for You,47,224520,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1995-11-17,0.666,0.714,9,-6.575,1,0.0294,0.122,0.0,0.128,0.532,94.998,4,1995,0,-1
