name,release_year,popularity,danceability,energy,valence
Hung Up,2005,75,0.649,0.647,0.405
Like a Prayer,2009,73,0.624,0.842,0.257
Vogue,2009,68,0.737,0.88,0.329
Like a Prayer,1989,66,0.66,0.629,0.324
Crazy for You,2009,65,0.662,0.719,0.511
Vogue,1990,62,0.748,0.84,0.304
Sorry,2005,62,0.589,0.877,0.443
Bitch I'm Madonna,2015,62,0.722,0.63,0.519
American Pie,2000,61,0.631,0.734,0.591
Ray of Light,1998,60,0.561,0.909,0.71
