name,release_year,popularity,danceability,energy,valence
Like a Virgin,1984,73,0.771,0.655,0.97
La Isla Bonita,1986,72,0.725,0.612,0.965
Holiday,1983,61,0.813,0.699,0.732
Holiday,1983,60,0.813,0.699,0.732
True Blue,1986,60,0.799,0.773,0.896
Crazy for You - Edit,1990,59,0.672,0.549,0.588
Material Girl,1984,57,0.775,0.616,0.98
Lucky Star,1983,55,0.793,0.627,0.963
Who's That Girl,1987,55,0.625,0.646,0.826
I'll Remember (Theme from the Motion Picture With Honors),1995,53,0.691,0.601,0.85
